# %ECSV 0.9
# ---
# datatype:
# - {name: filenames, datatype: string}
# - {name: filter/grism, datatype: object}
# - {name: nvisit, datatype: int64}
# - {name: norbit, datatype: int64}
# - {name: times, datatype: float64}
# - {name: t_orbit, datatype: float64}
# - {name: t_visit, datatype: float64}
# - {name: scan, datatype: int64}
# schema: astropy-2.0
filenames filter/grism nvisit norbit times t_orbit t_visit scan
ie3206fvq_ima.fits G141 1 0 58946.05883595 19.966924802865833 19.966924802865833 0
ie3206fxq_ima.fits G141 1 0 58946.06013225 21.833596798824146 21.833596798824146 1
ie3206fzq_ima.fits G141 1 0 58946.06142855 23.70026879478246 23.70026879478246 0
ie3206g0q_ima.fits G141 1 0 58946.06272484 25.566926394822076 25.566926394822076 1
ie3206g2q_ima.fits G141 1 0 58946.06402114 27.43359840125777 27.43359840125777 0
ie3206g4q_ima.fits G141 1 0 58946.06531744 29.30027039721608 29.30027039721608 1
ie3206g7q_ima.fits G141 1 0 58946.06661373 31.166927997255698 31.166927997255698 0
ie3206g8q_ima.fits G141 1 0 58946.06791003 33.03359999321401 33.03359999321401 1
ie3206gaq_ima.fits G141 1 0 58946.06920632 34.90025759325363 34.90025759325363 0
ie3206gcq_ima.fits G141 1 0 58946.07050262 36.76692959968932 36.76692959968932 1
ie3206geq_ima.fits G141 1 0 58946.07179892 38.63360159564763 38.63360159564763 0
ie3206gfq_ima.fits G141 1 0 58946.07309521 40.50025919568725 40.50025919568725 1
ie3206ghq_ima.fits G141 1 0 58946.07439151 42.36693120212294 42.36693120212294 0
ie3206gjq_ima.fits G141 1 0 58946.07568781 44.233603198081255 44.233603198081255 1
ie3206glq_ima.fits G141 1 0 58946.0769841 46.10026079812087 46.10026079812087 0
ie3206gmq_ima.fits G141 1 0 58946.0782804 47.966932794079185 47.966932794079185 1
ie3206h8q_ima.fits F130N 1 1 58946.10640521 0.0 88.46665919409133 -1
ie3206h9q_ima.fits G141 1 1 58946.10730818 1.3002768019214272 89.76693599601276 0
